,data,res
1300,251477154058,25
1301,251477154142,25
1302,251477154148,25
1303,251477154154,25
1304,251477154160,25
1305,251477154166,25
1306,251477154172,25
1307,251477154178,25
1308,251477154184,25
1309,251477154190,25
1310,251477154196,25
1311,251477154202,25
1312,251477154208,25
1313,251477154214,25
1314,251477154220,25
1315,251477154226,25
1316,251477154232,25
1317,251477154238,25
1318,251477154244,25
1319,251477154250,25
1320,251477154256,25
1321,251477154262,25
1322,251477154268,25
1323,251477154274,25
1324,251477154280,25
1325,251477154286,25
1326,251477154292,25
1327,251477154298,25
1328,251477154304,25
1329,251477154310,25
1330,251477154316,25
1331,251477154322,25
1332,251477191090,25
1333,251477191096,25
1334,251477191102,25
1335,251477191108,25
1336,251477191114,25
1337,251477191120,25
1338,251477191126,25
1339,251477191132,25
1340,251477191138,25
1341,251477191144,25
1342,251477191150,25
1343,251477191156,25
1344,251477191162,25
1345,251477191168,25
1346,251477191174,25
1347,251477191180,25
1348,251477191186,25
1349,251477191192,25
1350,251477191198,25
1351,251477191204,25
1352,251477191210,25
1353,251477191216,25
1354,251477191222,25
1355,251477191228,25
1356,251477191234,25
1357,251477191240,25
1358,251477191246,25
1359,251477191252,25
1360,251477191258,25
1361,251477191264,25
1362,251477191282,25
1363,251477191288,25
1364,251477191294,25
1365,251477191300,25
1366,251477191306,25
1367,251477191312,25
1368,251477191318,25
1369,251477191324,25
1370,251477191330,25
1371,251477191336,25
1372,251477191342,25
1373,251477191348,25
1374,251477191354,25
1375,251477191360,25
1376,251477191366,25
1377,251477191372,25
1378,251477191378,25
1379,251477191384,25
1380,251477191390,25
1381,251477191396,25
1382,251477191402,25
1383,251477191408,25
1384,251477191414,25
1385,251477191420,25
1386,251477191426,25
1387,251477191432,25
1388,251477191438,25
1389,251477191444,25
1390,251477191450,25
1391,251477191456,25
1392,251477191498,25
1393,251477191504,25
1394,251477191510,25
1395,251477191516,25
1396,251477191522,25
1397,251477191528,25
1398,251477191534,25
1399,251477191540,25
1400,251477191546,25
1401,251477191552,25
1402,251477191558,25
1403,251477191564,25
1404,251477191570,25
1405,251477191576,25
1406,251477191582,25
1407,251477191588,25
1408,251477191594,25
1409,251477191600,25
1410,251477191606,25
1411,251477191612,25
1412,251477191618,25
1413,251477191624,25
1414,251477191630,25
1415,251477191636,25
1416,251477191642,25
1417,251477191648,25
1418,251477191654,25
1419,251477191660,25
1420,251477191666,25
1421,251477191672,25
1422,251477191678,25
1423,251477191696,25
1424,251477191702,25
1425,251477191708,25
1426,251477191714,25
1427,251477191720,25
1428,251477191726,25
1429,251477191732,25
1430,251477191738,25
1431,251477191744,25
1432,251477191750,25
1433,251477191756,25
1434,251477191762,25
1435,251477191768,25
1436,251477191774,25
1437,251477191780,25
1438,251477191786,25
1439,251477191792,25
1440,251477191798,25
1441,251477191804,25
1442,251477191810,25
1443,251477191816,25
1444,251477191822,25
1445,251477191828,25
1446,251477191834,25
1447,251477191840,25
1448,251477191846,25
1449,251477191852,25
1450,251477191858,25
1451,251477191864,25
1452,251477191870,25
1453,251477191924,25
1454,251477191930,25
1455,251477191936,25
1456,251477191942,25
1457,251477191948,25
1458,251477191954,25
1459,251477191960,25
1460,251477191966,25
1461,251477191972,25
1462,251477191978,25
1463,251477191984,25
1464,251477191990,25
1465,251477191996,25
1466,251477192002,25
1467,251477192008,25
1468,251477192014,25
1469,251477192020,25
1470,251477192026,25
1471,251477192032,25
1472,251477192038,25
1473,251477192044,25
1474,251477192050,25
1475,251477192056,25
1476,251477192062,25
1477,251477192068,25
1478,251477192074,25
1479,251477192080,25
1480,251477192086,25
1481,251477192092,25
1482,251477192098,25
1483,251477192128,25
1484,251477192134,25
1485,251477192140,25
1486,251477192146,25
1487,251477192152,25
1488,251477192158,25
1489,251477192164,25
1490,251477192170,25
1491,251477192176,25
1492,251477192182,25
1493,251477192188,25
1494,251477192194,25
1495,251477192200,25
1496,251477192206,25
1497,251477192212,25
1498,251477192218,25
1499,251477192224,25
1500,251477192230,25
1501,251477192236,25
1502,251477192242,25
1503,251477192248,25
1504,251477192254,25
1505,251477192260,25
1506,251477192266,25
1507,251477192272,25
1508,251477192278,25
1509,251477192284,25
1510,251477192290,25
1511,251477192296,25
1512,251477192302,25
1513,251477285122,25
1514,251477285128,25
1515,251477285134,25
1516,251477285140,25
1517,251477285146,25
1518,251477285152,25
1519,251477285158,25
1520,251477285164,25
1521,251477285170,25
1522,251477285176,25
1523,251477285182,25
1524,251477285188,25
1525,251477285194,25
1526,251477285200,25
1527,251477285206,25
1528,251477285212,25
1529,251477285218,25
1530,251477285224,25
1531,251477285230,25
1532,251477285236,25
1533,251477285242,25
1534,251477285248,25
1535,251477285254,25
1536,251477285260,25
1537,251477285266,25
1538,251477285272,25
1539,251477285278,25
1540,251477285284,25
1541,251477285290,25
1542,251477285296,25
1543,251477285302,25
1544,251477285380,25
1545,251477285386,25
1546,251477285392,25
1547,251477285398,25
1548,251477285404,25
1549,251477285410,25
1550,251477285416,25
1551,251477285422,25
1552,251477285428,25
1553,251477285434,25
1554,251477285440,25
1555,251477285446,25
1556,251477285452,25
1557,251477285458,25
1558,251477285464,25
1559,251477285470,25
1560,251477285476,25
1561,251477285482,25
1562,251477285488,25
1563,251477285494,25
1564,251477285500,25
1565,251477285506,25
1566,251477285512,25
1567,251477285518,25
1568,251477285524,25
1569,251477285530,25
1570,251477285536,25
1571,251477285542,25
1572,251477285548,25
1573,251477285554,25
1574,251477285566,25
1575,251477285572,25
1576,251477285578,25
1577,251477285584,25
1578,251477285590,25
1579,251477285596,25
1580,251477285602,25
1581,251477285608,25
1582,251477285614,25
1583,251477285620,25
1584,251477285626,25
1585,251477285632,25
1586,251477285638,25
1587,251477285644,25
1588,251477285650,25
1589,251477285656,25
1590,251477285662,25
1591,251477285668,25
1592,251477285674,25
1593,251477285680,25
1594,251477285686,25
1595,251477285692,25
1596,251477285698,25
1597,251477285704,25
1598,251477285710,25
1599,251477285716,25
1600,251477285722,25
1601,251477285728,25
1602,251477285734,25
1603,251477285740,25
1604,251477285752,25
1605,251477285758,25
1606,251477285764,25
1607,251477285770,25
1608,251477285776,25
1609,251477285782,25
1610,251477285788,25
1611,251477285794,25
1612,251477285800,25
1613,251477285806,25
1614,251477285812,25
1615,251477285818,25
1616,251477285824,25
1617,251477285830,25
1618,251477285836,25
1619,251477285842,25
1620,251477285848,25
1621,251477285854,25
1622,251477285860,25
1623,251477285866,25
1624,251477285872,25
1625,251477285878,25
1626,251477285884,25
1627,251477285890,25
1628,251477285896,25
1629,251477285902,25
1630,251477285908,25
1631,251477285914,25
1632,251477285920,25
1633,251477285926,25
1634,251477285932,25
1635,251477285950,25
1636,251477285956,25
1637,251477285962,25
1638,251477285968,25
1639,251477285974,25
1640,251477285980,25
1641,251477285986,25
1642,251477285992,25
1643,251477285998,25
1644,251477286004,25
1645,251477286010,25
1646,251477286016,25
1647,251477286022,25
1648,251477286028,25
1649,251477286034,25
1650,251477286040,25
1651,251477286046,25
1652,251477286052,25
1653,251477286058,25
1654,251477286064,25
1655,251477286070,25
1656,251477286076,25
1657,251477286082,25
1658,251477286088,25
1659,251477286094,25
1660,251477286100,25
1661,251477286106,25
1662,251477286112,25
1663,251477286118,25
1664,251477286124,25
1665,251477286148,25
1666,251477286154,25
1667,251477286160,25
1668,251477286166,25
1669,251477286172,25
1670,251477286178,25
1671,251477286184,25
1672,251477286190,25
1673,251477286196,25
1674,251477286202,25
1675,251477286208,25
1676,251477286214,25
1677,251477286220,25
1678,251477286226,25
1679,251477286232,25
1680,251477286238,25
1681,251477286244,25
1682,251477286250,25
1683,251477286256,25
1684,251477286262,25
1685,251477286268,25
1686,251477286274,25
1687,251477286280,25
1688,251477286286,25
1689,251477286292,25
1690,251477286298,25
1691,251477286304,25
1692,251477286310,25
1693,251477286316,25
1694,251477286322,25
1695,251477286328,25
1696,251477286340,25
1697,251477286346,25
1698,251477286352,25
1699,251477286358,25
1700,251477286364,25
1701,251477286370,25
1702,251477286376,25
1703,251477286382,25
1704,251477286388,25
1705,251477286394,25
1706,251477286400,25
1707,251477286406,25
1708,251477286412,25
1709,251477286418,25
1710,251477286424,25
1711,251477286430,25
1712,251477286436,25
1713,251477286442,25
1714,251477286448,25
1715,251477286454,25
1716,251477286460,25
1717,251477286466,25
1718,251477286472,25
1719,251477286478,25
1720,251477286484,25
1721,251477286490,25
1722,251477286496,25
1723,251477286502,25
1724,251477286508,25
1725,251477286514,25
1726,251477286850,25
1727,251477286856,25
1728,251477286862,25
1729,251477286868,25
1730,251477286874,25
1731,251477286880,25
1732,251477286886,25
1733,251477286892,25
1734,251477286898,25
1735,251477286904,25
1736,251477286910,25
1737,251477286916,25
1738,251477286922,25
1739,251477286928,25
1740,251477286934,25
1741,251477286940,25
1742,251477286946,25
1743,251477286952,25
1744,251477286958,25
1745,251477286964,25
1746,251477286970,25
1747,251477286976,25
1748,251477286982,25
1749,251477286988,25
1750,251477286994,25
1751,251477287000,25
1752,251477287006,25
1753,251477287012,25
1754,251477287018,25
1755,251477287024,25
1756,251477287030,25
1757,251477287048,25
1758,251477287054,25
1759,251477287060,25
1760,251477287066,25
1761,251477287072,25
1762,251477287078,25
1763,251477287084,25
1764,251477287090,25
1765,251477287096,25
